,Name,Beschreibung,Preis,Postleitzahl,Standort,Versandart
0,Deko Holz Surfboard Surfbrett Holz Unikat Etsi,"schöne Surfer Deko
ca.20cm","
                                        15  ","
 23569"," Kücknitz
                                                (ca. 50 km)
                                            ",Versand möglich
1,Surfbrett no Kanu Kajak stand up paddle board Floß Boot,"Super Surfbrett in gute Hände weiterzugeben. Länge ca. 3,32cm

Realistische Preisvorschläge werden...","
                                        89  ","
 24805"," Hamdorf
                                                (43 km)
                                            ",
2,Altes Surfbrett,"Ein altes Surfbrett ohne Mast mit allem, was auf den Fotos zu sehen ist! Wo es hinpasst tolle Deko....","
                                        30  ","
 24536"," Neumünster
                                                (25 km)
                                            ",
3,"Surfbrett Board f2 Strato mit Mast, Gabelbaum, 2 Segel, Zubehör","Hallo,
zum Verkauf steht ein Windsurfboard ""Strato"" von f2.
Ich habe das Board sowie das...","
                                        45  ","
 24534"," Neumünster
                                                (30 km)
                                            ",
4,Fanatic windsurfboard Surfbrett 68L,Biete ein windsurfboard von fanatic an. Es hat 68L und befindet sich in einem guten Zustand. Das...,"
                                        50  ","
 24864"," Brodersby bei Schleswig
                                                (37 km)
                                            ",
5,Surfbrett als Badespaß,"Ich habe ein altes Surfbrett abzugeben. Länge ca 3,80m. Es war damals bei einem Wohnwagen dabei,...","
                                        15  ","
 24392"," Norderbrarup
                                                (44 km)
                                            ",
6,"Stand up Paddel, Surfbrett usw.","Siehe Bilder, wir haben es zum Stand up Paddeln benutzt
Es sind keine Paddel oder andere Teile...","
                                        49  ","
 24217"," Schönberg /​ Holm
                                                (19 km)
                                            ",
7,"Stand up paddle, Surfbrett usw.","Siehe Bilder
Haben es zum Stand up Paddeln genutzt, ca über 3 m lang.
Es sind keine Paddel oder...","
                                        49  ","
 24217"," Schönberg /​ Holm
                                                (19 km)
                                            ",Versand möglich
8,Surfbrett Komplett,Gut gebrauchter Zustand,"
                                        120  ","
 24837"," Schleswig
                                                (43 km)
                                            ",
9,SUCHE Surfbrett zu verschenken oder für kleines Geld,Wir suchen ein farbenfrohes Surfbrett zu verschenken (oder für kleines Geld) für die Familie (nur...,"
                                         Zu verschenken","
 24113"," Molfsee
                                                (8 km)
                                            ",Versand möglich
10,Surfbrett 5‘7,"für Kinder und Jugendliche
nur minimale Gebrauchsspuren","
                                        100  ","
 24354"," Rieseby
                                                (32 km)
                                            ",
11,"SUCHE Surfboard , Surfbrett als Schaufensterdekoration","Ich suche 1 altes , gebrauchtes oder auch beschädigtes Surfbrett ( gern auch mit Segel) für eine...","
                                         Zu verschenken","
 24321"," Tröndel
                                                (25 km)
                                            ",Gesuch
12,Fish Surfbrett 6.3,"Hi,

ich verkaufe ein schon bestimmt 8 Jahre nicht mehr gesurftes short Board.
Hat schon einige...","
                                        50  ","
 24582"," Bordesholm
                                                (19 km)
                                            ",
13,Skimboard Surfbrett Holz,"Gebrauchter Zustand
Nur Abholung","
                                        10  ","
 24881"," Nübel b Schleswig
                                                (45 km)
                                            ",
14,"Racekiteboard  Kiteboard Surfbrett Lampe "" Unikat ""","Biete hier mein selbst umfunktioniertes Lampenkiteboard zum Verkauf an.
Die Spots sind eher dem...","
                                        80  ","
 24257"," Hohenfelde bei Kiel
                                                (24 km)
                                            ",
15,2 x Surfboard Surfbrett im Set,"Wir verkaufen unsere zwei Surfboards. Einzelheiten in den jeweiligen einzelnen Anzeigen.
Im Set...","
                                        75 ","
 24814"," Sehestedt
                                                (21 km)
                                            ",
16,Surfboard Surfbrett  t&m Pro Line,"Wir verkaufen unser gutes, altes Surfboard (siehe Bilder).
t&m Pro Line
Länge ca. 280 cm ohne...","
                                        40 ","
 24814"," Sehestedt
                                                (21 km)
                                            ",Versand möglich
17,Surfboard Surfbrett 315 cm,"Wir verkaufen unser gutes, altes Surfboard (siehe Bilder).
Länge ca. 315 cm
Finne Wave GFK...","
                                        50 ","
 24814"," Sehestedt
                                                (21 km)
                                            ",
18,Surfbrett mit Rig,"Ich biete hier mein Surfbrett mit Mast und segel an. Aufbauen und los surfen.
Der mastfuß ist neu...","
                                        100 ","
 24251"," Osdorf
                                                (14 km)
                                            ",
19,"Surfbretthalterung, Kiteboardhalterung, Surfbrett, Kiteboard","Surfbrett- / Kiteboardhalterung für ein Fahrrad.

Verkauf OHNE DAS ABGEBILDETE...","
                                        25 ","
 24235"," Laboe
                                                (10 km)
                                            ",
20,Surfbrett / Surfboard,"Verkaufe ein älteres Surfbrett der Marke BIC. Es ist sehr robust, relativ leicht, ist dicht und hat...","
                                        60  ","
 24991"," Großsolt
                                                (ca. 50 km)
                                            ",Versand möglich
21,Surfbrett bic,"Altes Surfbrett von bic (sehr robust) zum paddeln (SUP), planschen...
310 x 65 ca. 200l","
                                        2  ","
 24116"," Schreventeich-​Hasseldieksdamm
                                                (2 km)
                                            ",
22,Surfbrett mit viel Zubehör Paddlle Board,"Verkaufe ein hochwertiges & gebrauchtes Surfbrett ( ca. 3,10 m Länge )mit div.Zubehör....
Finne,...","
                                        95 ","
 24534"," Neumünster
                                                (30 km)
                                            ",
23,2 Surfbretter,"Verkaufe 2 Surfbretter. Es sind auch nur die Bretter. Das weiße Brett ist ca. 3,5m lang und hat ein...","
                                        60  ","
 24321"," Lütjenburg
                                                (28 km)
                                            ",
24,Surfbrett Kinder Softboard,"Hallo

Wir verkaufen ein Softboard für Kinder.

Ideal zum surfen lernen auf kleinen Wellen und im...","
                                        70 ","
 24235"," Laboe
                                                (10 km)
                                            ",Versand möglich
