,Titel,Jahr,Dauer,IMDb Rating,Metascore,Votes,us_grossMillions
0,Connected - Familie verbindet,2021,113 min,7.8,80        ,"48,313",-
1,Zack Snyder: Justice League,2021,242 min,8.1,54        ,"292,453",-
2,The Father,2020,97 min,8.3,88        ,"61,889",-
3,Avengers: Endgame,2019,181 min,8.4,78        ,"878,256",$858.37M
4,Die Verurteilten,1994,142 min,9.3,80        ,"2,397,374",$28.34M
5,Sound of Metal,2019,120 min,7.8,82        ,"87,867",-
6,Once Upon a Time In... Hollywood,2019,161 min,7.6,83        ,"583,991",$142.50M
7,Tombstone,1993,130 min,7.8,50        ,"130,515",$56.51M
8,Der Rausch,2020,117 min,7.8,80        ,"78,532",-
9,Knives Out: Ein Mord zum Dessert,2019,130 min,7.9,82        ,"492,545",$165.36M
10,Der Pate,1972,175 min,9.2,100        ,"1,660,418",$134.97M
11,Parasite,2019,132 min,8.6,96        ,"611,197",$53.37M
12,GoodFellas - Drei Jahrzehnte in der Mafia,1990,146 min,8.7,90        ,"1,043,739",$46.84M
13,The Gentlemen,2019,113 min,7.8,51        ,"264,106",-
14,Harry Potter und der Stein der Weisen,2001,152 min,7.6,64        ,"675,575",$317.58M
15,Titanic,1997,194 min,7.8,75        ,"1,068,808",$659.33M
16,Interstellar,2014,169 min,8.6,74        ,"1,561,223",$188.02M
17,The Dark Knight,2008,152 min,9.0,84        ,"2,358,749",$534.86M
18,Soul,2020,100 min,8.1,83        ,"244,121",-
19,Bohemian Rhapsody,2018,134 min,7.9,49        ,"469,806",$216.43M
20,Pulp Fiction,1994,154 min,8.9,94        ,"1,864,313",$107.93M
21,Thor: Tag der Entscheidung,2017,130 min,7.9,74        ,"614,710",$315.06M
22,Joker,2019,122 min,8.4,59        ,"1,001,919",$335.45M
23,The Wolf of Wall Street,2013,180 min,8.2,75        ,"1,225,512",$116.90M
24,Saw - Wessen Blut wird fließen?,2004,103 min,7.6,46        ,"386,286",$56.00M
25,Inception,2010,148 min,8.8,74        ,"2,116,589",$292.58M
26,Der Herr der Ringe: Die Gefährten,2001,178 min,8.8,92        ,"1,694,822",$315.54M
27,Zurück in die Zukunft,1985,116 min,8.5,87        ,"1,083,018",$210.61M
28,Forrest Gump,1994,142 min,8.8,82        ,"1,853,582",$330.25M
29,Confusion - Sommer der Ausgeflippten,1993,102 min,7.6,78        ,"169,969",$7.99M
30,Avengers: Infinity War,2018,149 min,8.4,68        ,"879,908",$678.82M
31,Inglourious Basterds,2009,153 min,8.3,69        ,"1,299,118",$120.54M
32,Das Schweigen der Lämmer,1991,118 min,8.6,85        ,"1,299,844",$130.74M
33,Guardians of the Galaxy,2014,121 min,8.0,76        ,"1,065,181",$333.18M
34,Baby Driver,2017,113 min,7.6,86        ,"456,347",$107.83M
35,Die Goonies,1985,114 min,7.8,62        ,"249,177",$61.50M
36,Ex Machina,2014,108 min,7.7,78        ,"485,434",$25.44M
37,Soorarai Pottru,2020,153 min,9.1,-,"80,123",-
38,Gladiator,2000,155 min,8.5,67        ,"1,367,542",$187.71M
39,Matrix,1999,136 min,8.7,73        ,"1,712,291",$171.48M
40,Jurassic Park,1993,127 min,8.1,68        ,"885,554",$402.45M
41,Alien - Das unheimliche Wesen aus einer fremden Welt,1979,117 min,8.4,89        ,"803,729",$78.90M
42,Blade Runner 2049,2017,164 min,8.0,81        ,"479,376",$92.05M
43,Brokeback Mountain,2005,134 min,7.7,87        ,"329,946",$83.04M
44,Prisoners,2013,153 min,8.1,70        ,"618,103",$61.00M
45,"Big Fish - Der Zauber, der ein Leben zur Legende macht",2003,125 min,8.0,58        ,"420,362",$66.26M
46,Wind River,2017,107 min,7.7,73        ,"214,433",$33.80M
47,Guardians of the Galaxy Vol. 2,2017,136 min,7.6,67        ,"588,564",$389.81M
48,Komm und sieh',1985,142 min,8.3,-,"62,956",-
49,Fight Club,1999,139 min,8.8,66        ,"1,894,176",$37.03M
