,Name,Preis,Bewertung
0,,,
1,,,
2,"2021 Apple iPad (10,2"", Wi-Fi, 64 GB) - Space Grau (9. Generation)","354,99",4.2
3,,,
4,,,
5,"2021 Apple iPad (10,2"", Wi-Fi, 64 GB) - Space Grau (9. Generation)","354,99","4,8"
6,,,
7,"2021 Apple iPad (10,2"", Wi-Fi, 64 GB) - Space Grau (9. Generation)","354,99","4,8"
8,,"354,99",
9,,,
10,,,
11,,,
12,,,
13,,,
14,"2022 Apple iPad Air (Wi-Fi, 64 GB) - Polarstern (5. Generation)","649,00","4,2"
15,,,
16,"2022 Apple iPad Air (Wi-Fi, 64 GB) - Polarstern (5. Generation)","649,00","4,2"
17,,"649,00",
18,,,
19,,,
20,,,
21,,,
22,,,
23,"2021 Apple iPad (10,2"", Wi-Fi, 64 GB) - Space Grau (9. Generation)","354,99","4,8"
24,,,
25,"2021 Apple iPad (10,2"", Wi-Fi, 64 GB) - Space Grau (9. Generation)","354,99","4,8"
26,,"354,99",
27,,,
28,,,
29,,,
30,,,
31,,,
32,"2021 Apple iPad Pro (12,9"", Wi-Fi, 256 GB) - Space Grau (5. Generation)","1.184,11","4,8"
33,,,
34,"2021 Apple iPad Pro (12,9"", Wi-Fi, 256 GB) - Space Grau (5. Generation)","1.184,11","4,8"
35,,"1.184,11",
36,,,
37,,,
38,,,
39,,,
40,,,
41,"2021 Apple iPad Pro (11"", Wi-Fi, 128 GB) - Space Grau (3. Generation)","799,00","4,8"
42,,,
43,"2021 Apple iPad Pro (11"", Wi-Fi, 128 GB) - Space Grau (3. Generation)","799,00","4,8"
44,,"799,00",
45,,,
46,,,
47,,,
48,,,
49,,,
50,"2022 Apple iPad Air (Wi-Fi, 64 GB) - Violett (5. Generation)","643,70","4,2"
51,,,
52,"2022 Apple iPad Air (Wi-Fi, 64 GB) - Violett (5. Generation)","643,70","4,2"
53,,"643,70",
54,,,
55,,,
56,,,
57,,,
58,,,
59,Apple iPad Air 3 (2019) 64 GB Wi-Fi - Space Grey (Generalüberholt),"365,94","4,4"
60,,,
61,Apple iPad Air 3 (2019) 64 GB Wi-Fi - Space Grey (Generalüberholt),"365,94","4,4"
62,,"365,94",
63,,,
64,,,
65,,,
66,,,
67,,,
68,"2021 Apple iPad Mini (8.3"", Wi-Fi, 64 GB) - Violett (6. Generation)","511,91","4,7"
69,,,
70,"2021 Apple iPad Mini (8.3"", Wi-Fi, 64 GB) - Violett (6. Generation)","511,91","4,7"
71,,"511,91",
72,,,
73,,,
74,,,
75,,,
76,,,
77,"2020 Apple iPad Air (10,9"", Wi-Fi + Cellular, 256 GB) - Himmelblau (4. Generation) with AppleCare+","918,00",
78,,,
79,"2020 Apple iPad Air (10,9"", Wi-Fi + Cellular, 256 GB) - Himmelblau (4. Generation) with AppleCare+","918,00",
80,,"918,00",
81,,,
82,,,
83,,,
